,id,original_title,title,popularity,release_date,vote_average,vote_count
0,278,The Shawshank Redemption,The Shawshank Redemption,157.014,1994-09-23,8.708,27324
1,238,The Godfather,The Godfather,155.451,1972-03-14,8.7,20737
2,240,The Godfather Part II,The Godfather Part II,87.158,1974-12-20,8.6,12509
3,424,Schindler's List,Schindler's List,89.846,1993-12-15,8.567,15926
4,389,12 Angry Men,12 Angry Men,60.134,1957-04-10,8.5,8722
5,129,千と千尋の神隠し,Spirited Away,103.989,2001-07-20,8.5,16591
6,19404,दिलवाले दुल्हनिया ले जायेंगे,Dilwale Dulhania Le Jayenge,40.482,1995-10-20,8.5,4446
7,155,The Dark Knight,The Dark Knight,134.567,2008-07-16,8.5,33024
8,823219,Straume,Flow,263.767,2024-08-29,8.5,413
9,497,The Green Mile,The Green Mile,110.512,1999-12-10,8.506,17544
10,496243,기생충,Parasite,96.558,2019-05-30,8.5,18383
11,680,Pulp Fiction,Pulp Fiction,110.962,1994-09-10,8.5,28017
12,372058,君の名は。,Your Name.,86.106,2016-08-26,8.5,11431
13,122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,128.131,2003-12-17,8.483,24323
14,13,Forrest Gump,Forrest Gump,99.977,1994-06-23,8.47,27536
15,429,"Il buono, il brutto, il cattivo","The Good, the Bad and the Ugly",84.661,1966-12-22,8.465,8665
16,346,七人の侍,Seven Samurai,46.034,1954-04-26,8.464,3703
17,12477,火垂るの墓,Grave of the Fireflies,0.048,1988-04-16,8.457,5590
18,769,GoodFellas,GoodFellas,70.078,1990-09-12,8.5,12926
19,11216,Nuovo Cinema Paradiso,Cinema Paradiso,46.727,1988-11-17,8.4,4385
20,637,La vita è bella,Life Is Beautiful,57.946,1997-12-20,8.4,13069
21,157336,Interstellar,Interstellar,235.868,2014-11-05,8.445,35837
22,667257,Cosas imposibles,Impossible Things,9.702,2021-06-17,8.4,389
23,550,Fight Club,Fight Club,99.039,1999-10-15,8.438,29519
24,539,Psycho,Psycho,41.358,1960-06-22,8.4,10092
25,598,Cidade de Deus,City of God,52.08,2002-08-30,8.426,7411
26,40096,O Auto da Compadecida,A Dog's Will,14.081,2000-09-15,8.4,1109
27,311,Once Upon a Time in America,Once Upon a Time in America,59.224,1984-05-23,8.419,5410
28,120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,144.458,2001-12-18,8.4,25282
29,510,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,45.622,1975-11-19,8.414,10480
30,696374,Gabriel's Inferno,Gabriel's Inferno,14.802,2020-05-29,8.4,2414
31,704264,Primal: Tales of Savagery,Primal: Tales of Savagery,10.706,2019-11-21,8.403,318
32,4935,ハウルの動く城,Howl's Moving Castle,89.045,2004-09-09,8.4,9944
33,14537,切腹,Harakiri,25.243,1962-09-15,8.4,1006
34,324857,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,154.107,2018-12-06,8.4,15687
35,121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,103.231,2002-12-18,8.399,21948
36,1891,The Empire Strikes Back,The Empire Strikes Back,44.249,1980-05-20,8.393,16990
37,724089,Gabriel's Inferno: Part II,Gabriel's Inferno: Part II,8.88,2020-07-31,8.389,1515
38,378064,映画 聲の形,A Silent Voice: The Movie,49.04,2016-09-17,8.384,3970
39,372754,同級生,Dou kyu sei – Classmates,17.666,2016-02-20,8.383,390
40,1184918,The Wild Robot,The Wild Robot,926.568,2024-09-08,8.382,3528
41,761053,Gabriel's Inferno: Part III,Gabriel's Inferno: Part III,27.966,2020-11-19,8.4,1054
42,423,The Pianist,The Pianist,48.914,2002-09-17,8.4,9199
43,244786,Whiplash,Whiplash,88.6,2014-10-10,8.4,15168
44,255709,소원,Hope,20.989,2013-10-02,8.4,739
