Product Name,Colours,Price,Rating,Ratings Count,Reviews Count,RAM (GB),ROM (GB),Display (inch),Battery Capacity (mAh)
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy F05,Twilight Blue,6499,4.2,21063,1148,4,64,6.74,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Green,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S24+ 5G,Onyx Black,64999,4.5,3747,280,12,256,6.7,4900
SAMSUNG Galaxy S23 FE,Graphite,30999,4.4,62125,3783,8,128,6.4,4500
SAMSUNG Galaxy S24+ 5G,Cobalt Violet,64999,4.5,3747,280,12,256,6.7,4900
SAMSUNG Galaxy M35 5G,DayBreak Blue,15699,4.4,5045,379,6,128,6.6,6000
SAMSUNG Galaxy S24 5G,Onyx Black,58469,4.5,1476,162,8,256,6.2,4000
SAMSUNG Galaxy A35 5G,Awesome Iceblue,30999,4.3,3286,244,8,128,6.6,5000
SAMSUNG Galaxy A35 5G,Awesome Navy,30999,4.3,3286,244,8,128,6.6,5000
SAMSUNG Galaxy A55 5G,Awesome Iceblue,42999,4.4,741,75,8,256,6.6,5000
SAMSUNG Galaxy A25 5G,Blue Black,20490,4.3,180,9,8,256,6.5,5000
SAMSUNG Galaxy A35 5G,Awesome Navy,33999,4.3,3286,244,8,256,6.6,5000
SAMSUNG Galaxy M35 5G,Thunder Grey,20688,4.4,396,22,8,128,6.6,6000
SAMSUNG Galaxy A35 5G,Awesome Iceblue,33999,4.3,3286,244,8,256,6.6,5000
SAMSUNG Galaxy A16 5G,Light Green,17999,4.2,467,31,8,128,6.7,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A35 5G,Awesome Lilac,33999,4.3,3286,244,8,256,6.6,5000
SAMSUNG Galaxy M14 4G,Sapphire Blue,8438,4.1,2366,96,4,64,6.6,6000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy A16 5G,Gold,20999,4.2,467,31,8,256,6.7,5000
SAMSUNG Galaxy A16 5G,Gold,17999,4.2,467,31,8,128,6.7,5000
SAMSUNG Galaxy A16 5G,Blue Black,17990,4.2,467,31,8,128,6.7,5000
SAMSUNG Galaxy F15 5G,Groovy Violet,13499,4.2,28068,2279,6,128,6.5,6000
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy M14 4G,Arctic Blue,8465,4.1,2366,96,4,64,6.6,6000
SAMSUNG Galaxy M35 5G,Thunder Grey,23095,4.4,396,22,8,256,6.6,6000
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 FE,Graphite,33999,4.4,62125,3783,8,256,6.4,4500
SAMSUNG Galaxy S23 Ultra 5G,Phantom Black,78000,4.6,3818,366,12,256,6.8,5000
SAMSUNG Galaxy A55 5G,Awesome Iceblue,39999,4.4,741,75,8,128,6.6,5000
SAMSUNG Galaxy S23 FE,Mint,30999,4.4,62125,3783,8,128,6.4,4500
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy A16 5G,Light Green,20999,4.2,467,31,8,256,6.7,5000
SAMSUNG Galaxy A16 5G,Light Green,15899,4.8,8,1,6,128,6.7,5000
SAMSUNG Galaxy A55 5G,Awesome Navy,45999,4.3,348,30,12,256,6.6,5000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 Ultra 5G,Green,78199,4.6,3818,366,12,256,6.8,5000
SAMSUNG Galaxy A05,Silver,7999,4.4,309,17,4,64,6.74,5000
SAMSUNG Galaxy S24 Ultra 5G,Titanium Gray,131999,4.6,2454,274,12,512,6.8,5000
SAMSUNG Galaxy M15 5G,Stone Grey,13209,4.3,2635,122,6,128,6.5,6000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy M15 5G,Blue Topaz,13232,4.3,2635,122,6,128,6.5,6000
SAMSUNG galaxy M15 5G,Stone Grey,15749,4.1,41,2,8,128,6.5,6000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG galaxy M15 5G,Blue Topaz,15749,4.1,41,2,8,128,6.5,6000
SAMSUNG Galaxy F55 5G,Raisin Black,26999,3.9,361,38,12,256,6.7,5000
SAMSUNG Galaxy A16 5G,Blue Black,19245,4.2,467,31,8,256,6.7,5000
SAMSUNG Galaxy S23 FE,Mint,33999,4.4,62125,3783,8,256,6.4,4500
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG M15 Prime Edition,Blue Topaz,13490,4.3,113,6,6,128,6.5,6000
SAMSUNG Galaxy F55 5G,Apricot Crush,20999,3.9,1106,79,8,128,6.7,5000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 FE,Purple,30999,4.4,62125,3783,8,128,6.4,4500
SAMSUNG Galaxy A25 5G,Yellow,26999,4.3,180,9,8,128,6.5,5000
SAMSUNG Galaxy Z Fold6 5G,Pink,176999,4.3,79,6,12,512,7.6,4400
SAMSUNG Galaxy M33 5G,Mystique Green,16640,4.2,4939,326,8,128,6.6,6000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy F15 5G,Ash Black,13499,4.2,28068,2279,6,128,6.5,6000
SAMSUNG Galaxy A55 5G,Awesome Iceblue,45999,4.3,348,30,12,256,6.6,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S24 5G,Marble Gray,58999,4.5,1476,162,8,256,6.2,4000
SAMSUNG Galaxy Z Flip5,Mint,92499,4.4,755,45,8,256,6.7,3700
SAMSUNG Galaxy M14 5G,ICY Silver,12999,4.2,7155,373,4,128,6.6,6000
SAMSUNG Galaxy S24 FE 5G,Graphite,60999,4.5,40,2,8,256,6.7,4700
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S24 FE 5G,Blue,60999,4.5,40,2,8,256,6.7,4700
SAMSUNG Galaxy S24 FE 5G,Mint,60999,4.5,40,2,8,256,6.7,4700
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S24 5G,Cobalt Violet,64959,4.5,1476,162,8,256,6.2,4000
SAMSUNG Galaxy S24 Ultra 5G,Titanium Violet,102999,4.6,2454,274,12,256,6.8,5000
SAMSUNG M15 5G Prime Edition,Stone Grey,13390,4.3,30,3,6,128,6.5,6000
SAMSUNG Galaxy M34 5G without charger,Prism Silver,22999,4.2,1114,90,8,128,6.5,6000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S24 Ultra 5G,Titanium Yellow,111999,4.6,2454,274,12,512,6.8,5000
SAMSUNG Galaxy A25 5G,Blue Black,26999,4.3,180,9,8,128,6.5,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
Samsung Galaxy S21 FE 5G with Snapdragon 888,Olive,31170,4.3,50166,14030,8,256,6.4,4500
SAMSUNG M55s,Coral Green,21499,4.2,12,2,8,128,6.7,5000
SAMSUNG Galaxy F14 5G,B.A.E. Purple,13490,4.2,25843,8915,6,128,6.6,6000
SAMSUNG Galaxy A13,Black,12599,4.2,545,27,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A25 5G,Yellow,21999,4.3,180,9,8,256,6.5,5000
SAMSUNG Galaxy F22,Denim Blue,13499,4.3,68242,6027,6,128,6.4,6000
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A23 5G,Silver,23999,4.1,1358,70,8,128,6.6,5000
SAMSUNG Galaxy A54 5G,Awesome Violet,26999,4.3,4363,369,8,128,6.4,5000
SAMSUNG Metro 313,,2100,3.7,2002,175,,,2,512
SAMSUNG Metro 313 Dual Sim,,2799,4.1,5557,473,,,2.03,4
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG A14 5g,"Green, Light Green",12990,4.1,18,0,6,128,6.6,5000
SAMSUNG Galaxy A04e,Copper,7490,4.1,148,9,3,64,6.5,5000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy F23 5G,Aqua Blue,17499,4.2,49091,3580,4,128,6.6,5000
SAMSUNG Galaxy F12,Celestial Black,10499,4.3,2504,23331,4,64,6.515,6000
SAMSUNG Galaxy S24 Ultra 5G,Titanium Violet,112999,4.6,2454,274,12,512,6.8,5000
SAMSUNG Sm-B110E/D,,1399,3.1,994,55,,,1.5,800
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG SM 1207,,1149,3.1,536,34,,,1.5,32
SAMSUNG Galaxy F13,Waterfall Blue,14999,4.3,8875,11743,4,64,6.6,6000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A16 5G,Gold,20999,4.2,467,31,8,256,6.7,5000
SAMSUNG Metro SM-B313ez,,1598,3.4,895,82,,,2,1000
SAMSUNG Galaxy A54 5G,Awesome Lime,37499,4.3,4363,369,8,256,6.4,5000
SAMSUNG Galaxy A16 5G,Gold,16499,4.8,8,1,6,128,6.7,5000
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A06,Light Blue,9999,4.1,18,3,4,64,6.7,5000
SAMSUNG Galaxy F12,Sea Green,10499,4.3,2504,23331,4,64,6.515,6000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy M53 5G,Deep Ocean Blue,20790,4,225,20,6,128,6.7,5000
SAMSUNG Galaxy S24 Ultra 5G,Titanium Black,112499,4.6,2454,274,12,512,6.8,5000
SAMSUNG Galaxy A34 5G,Awesome Violet,35499,4.3,6978,556,8,128,6.6,5000
SAMSUNG Galaxy M34 5G without charger,Prism Silver,15995,4.2,5311,340,6,128,6.5,6000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A15 5G,Light Blue,14399,4.3,1564,73,6,128,6.5,5000
SAMSUNG 1200,,1149,,,,,,1.5,32
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy M55 5G,Danim Black,28849,4.1,28,3,12,256,6.7,5000
SAMSUNG Galaxy S22 5G,Phantom Black,51328,4.4,20603,1668,8,256,6.1,3700
SAMSUNG Galaxy F13,Nightsky Green,16999,4.3,8875,11743,4,128,6.6,6000
SAMSUNG Galaxy A15 5G,Blue Black,14399,4.3,1564,73,6,128,6.5,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy A15 5G,Blue,14399,4.3,1564,73,6,128,6.5,5000
SAMSUNG Galaxy M15 5G,Blue Topaz,12990,4.2,319,19,4,128,6.5,6000
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy F13,Waterfall Blue,16999,4.3,8875,11743,4,128,6.6,6000
SAMSUNG Galaxy F14 5G,B.A.E. Purple,13490,4.2,25843,8915,6,128,6.6,6000
SAMSUNG Galaxy M55 5G,Light Green,27990,3.5,156,10,8,256,6.7,5000
SAMSUNG Galaxy M34 5G,Waterfall Blue,14990,4.2,3138,208,6,128,6.5,6000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG a14 5g,Steller Black,10780,3.7,11,0,4,64,6.6,5000
SAMSUNG Galaxy F22,Denim Black,11499,4.3,6610,9834,4,64,6.4,6000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy F55 5G,Apricot Crush,26999,3.9,361,38,12,256,6.7,5000
SAMSUNG Galaxy A23,Black,18499,4.2,1208,70,6,128,6.6,5000
SAMSUNG Galaxy A34 5G,Awesome Graphite,30990,4.3,6978,556,8,128,6.6,5000
SAMSUNG Galaxy A05s,Black,13999,4.2,149,8,6,128,6.72,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy Z Flip5,Blue,69990,4.4,755,45,8,256,6.7,3700
SAMSUNG A05,Light Green,8600,3.9,391,12,4,64,6.7,5000
SAMSUNG Galaxy S23 5G,Cream,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy F34 5G,Electric Black,25999,4.2,15439,1144,8,128,6.5,6000
SAMSUNG GALAXY M13 5G,Midnight Blue,11398,4.1,1775,91,4,64,6.5,5000
SAMSUNG Galaxy M15 5G,Stone Grey,12899,4.2,319,19,4,128,6.5,6000
SAMSUNG Galaxy F04,Jade Purple,8990,4.2,13535,6208,4,64,6.5,5000
SAMSUNG Galaxy S23 5G,Lavender,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy S23 5G,Green,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy M04,Light Green,9999,4.1,12879,693,4,64,6.5,5000
SAMSUNG M15,Blue Topaz,13990,4.1,175,14,4,128,6.5,6000
SAMSUNG Galaxy S23 5G,Lavender,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG Galaxy S23 5G,Phantom Black,42999,4.6,65179,4462,8,256,6.1,3900
SAMSUNG Galaxy F42 5G,Matte Aqua,16499,4.1,10623,990,6,128,6.6,5000
SAMSUNG Galaxy A04s,Black,11999,4.2,188,14,4,64,6.5,5000
SAMSUNG Galaxy A14 5G,Black,9999,4.2,38089,1721,4,128,6.6,5000
SAMSUNG Galaxy F34 5G,Orchid Violet,24499,4.2,46328,3519,6,128,6.5,6000
SAMSUNG Galaxy A14 5G,Dark Red,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy A14 5G,Light Green,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy M52 5G,Icy Blue,22999,4.2,2488,255,6,128,6.7,5000
SAMSUNG Galaxy A04s,Copper,15990,4.2,188,14,4,64,6.5,5000
SAMSUNG Galaxy A14 5G,Black,10999,4.2,63583,3046,6,128,6.6,5000
SAMSUNG Galaxy S23 5G,Cream,37999,4.6,65179,4462,8,128,6.1,3900
SAMSUNG A14 5g,Green,16999,3.7,11,1,8,128,6.6,5000
SAMSUNG Galaxy F34 5G,Mystic Green,24499,4.2,46328,3519,6,128,6.5,6000
SAMSUNG METRO 312,,1549,2.8,1028,61,,,2,32
SAMSUNG Galaxy A04,Black,8199,3.8,144,6,4,64,6.5,5000
