,continent,country,population,cases,deaths,tests,day,time
0,Africa,Saint-Helena,6115.0,"{'new': None, 'active': 2164, 'critical': None, 'recovered': 2, '1M_pop': '354211', 'total': 2166}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:08+00:00
1,South-America,Falkland-Islands,3539.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 1930, '1M_pop': '545352', 'total': 1930}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': '2439107', 'total': 8632}",2024-12-22,2024-12-22T11:30:08+00:00
2,North-America,Montserrat,4965.0,"{'new': None, 'active': 19, 'critical': None, 'recovered': 1376, '1M_pop': '282578', 'total': 1403}","{'new': None, '1M_pop': '1611', 'total': 8}","{'1M_pop': '3577442', 'total': 17762}",2024-12-22,2024-12-22T11:30:08+00:00
3,,Diamond-Princess,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 699, '1M_pop': None, 'total': 712}","{'new': None, '1M_pop': None, 'total': 13}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:08+00:00
4,Europe,Vatican-City,799.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 29, '1M_pop': '36295', 'total': 29}","{'new': None, '1M_pop': None, 'total': None}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:08+00:00
5,Africa,Western-Sahara,626161.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 9, '1M_pop': '16', 'total': 10}","{'new': None, '1M_pop': '2', 'total': 1}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:08+00:00
6,,MS-Zaandam,,"{'new': None, 'active': 0, 'critical': None, 'recovered': 7, '1M_pop': None, 'total': 9}","{'new': None, '1M_pop': None, 'total': 2}","{'1M_pop': None, 'total': None}",2024-12-22,2024-12-22T11:30:08+00:00
7,Asia,China,1448471400.0,"{'new': None, 'active': 118977, 'critical': None, 'recovered': 379053, '1M_pop': '347', 'total': 503302}","{'new': None, '1M_pop': '4', 'total': 5272}","{'1M_pop': '110461', 'total': 160000000}",2024-12-22,2024-12-22T11:30:08+00:00
8,Oceania,Nauru,10903.0,"{'new': None, 'active': 45, 'critical': None, 'recovered': 5347, '1M_pop': '494635', 'total': 5393}","{'new': None, '1M_pop': '92', 'total': 1}","{'1M_pop': '1881042', 'total': 20509}",2024-12-22,2024-12-22T11:30:08+00:00
9,Oceania,Wallis-and-Futuna,10982.0,"{'new': None, 'active': 3104, 'critical': None, 'recovered': 438, '1M_pop': '323256', 'total': 3550}","{'new': None, '1M_pop': '728', 'total': 8}","{'1M_pop': '1867419', 'total': 20508}",2024-12-22,2024-12-22T11:30:08+00:00
